sample_id,initial_atoms,decay_constant,time,remaining_atoms,decayed_atoms,probability_of_decay,half_life,noise_level,experiment_group
1,1360,0.2681502652176558,0.100531,1341.1573,18.8427,0.026597,2.584921,41.7517,E
1,1360,0.2681502652176558,1.201928,969.6685,390.3315,0.275517,2.584921,24.2653,E
1,1360,0.2681502652176558,1.779794,866.5236,493.4764,0.379514,2.584921,19.672,E
1,1360,0.2681502652176558,2.845105,670.6214,689.3786,0.533695,2.584921,20.0019,E
1,1360,0.2681502652176558,3.297696,538.3445,821.6555,0.586988,2.584921,14.5708,E
1,1360,0.2681502652176558,3.787868,453.6249,906.3751,0.637858,2.584921,31.9914,E
1,1360,0.2681502652176558,3.969821,470.2586,889.7414,0.655103,2.584921,27.8131,E
1,1360,0.2681502652176558,4.799787,370.6847,989.3153,0.72392,2.584921,18.6483,E
1,1360,0.2681502652176558,5.459,360.5484,999.4516,0.768652,2.584921,24.2116,E
1,1360,0.2681502652176558,5.562583,308.8958,1051.1042,0.774989,2.584921,13.1105,E
1,1360,0.2681502652176558,6.263264,280.5871,1079.4129,0.813532,2.584921,19.3823,E
1,1360,0.2681502652176558,6.828505,176.907,1183.093,0.839757,2.584921,20.0198,E
1,1360,0.2681502652176558,6.93772,221.7883,1138.2117,0.844382,2.584921,12.4642,E
1,1360,0.2681502652176558,8.712896,121.1657,1238.8343,0.903322,2.584921,14.4188,E
1,1360,0.2681502652176558,8.975576,116.1014,1243.8986,0.909897,2.584921,8.8013,E
1,1360,0.2681502652176558,9.056274,117.7441,1242.2559,0.911826,2.584921,8.748,E
1,1360,,9.112383,108.7268,1251.2732,0.913143,2.584921,6.5978,E
1,1360,0.2681502652176558,10.820058,78.325,1281.675,0.945054,2.584921,8.1263,E
1,1360,0.2681502652176558,10.860429,75.9386,1284.0614,0.945645,2.584921,10.5728,E
1,1360,0.2681502652176558,13.562277,38.1147,1321.8853,0.973662,2.584921,8.6197,E
1,1360,0.2681502652176558,14.202653,35.5462,1324.4538,0.977817,2.584921,6.0627,E
1,1360,0.2681502652176558,15.889616,28.2365,1331.7635,0.985889,2.584921,5.9715,E
1,1360,0.2681502652176558,16.990684,12.4667,1347.5333,0.989497,2.584921,4.9984,E
1,1360,0.2681502652176558,18.095327,11.6701,1348.3299,0.992189,2.584921,2.1946,E
1,1360,0.2681502652176558,18.264654,11.0712,1348.9288,0.992536,2.584921,3.1409,E
1,1360,0.2681502652176558,18.779928,9.5337,1350.4663,0.993499,2.584921,1.8343,E
1,1360,0.2681502652176558,19.696915,8.134,1351.866,0.994916,2.584921,3.1083,E
1,1360,0.2681502652176558,19.833921,12.6175,1347.3825,0.9951,2.584921,3.743,E
2,4272,,0.545,3691.7343,580.2657,0.14181,2.47018,33.4101,D
2,4272,0.2806059451468647,0.63557,,,0.163346,2.47018,63.2108,D
2,4272,0.2806059451468647,1.528797,2728.6442,1543.3558,0.348833,2.47018,34.601,D
2,4272,0.2806059451468647,2.314026,2300.4436,1971.5564,0.477604,2.47018,63.0469,D
2,4272,0.2806059451468647,2.757705,1942.9849,2329.0151,0.538756,2.47018,38.1011,D
2,4272,0.2806059451468647,2.886184,1853.7065,2418.2935,0.555089,2.47018,61.5973,D
2,4272,0.2806059451468647,3.166078,1826.3464,2445.6536,0.588695,2.47018,44.6712,D
2,4272,0.2806059451468647,4.365197,1256.7437,3015.2563,0.706213,2.47018,24.1849,D
2,4272,0.2806059451468647,4.801415,1112.0874,3159.9126,0.74006,2.47018,21.3137,D
2,4272,0.2806059451468647,4.924883,1066.3093,3205.6907,0.748912,2.47018,35.2559,D
2,4272,,8.470958,365.806,3906.194,0.907171,2.47018,25.129,D
2,4272,0.2806059451468647,10.47173,,,0.947051,2.47018,19.2737,D
2,4272,0.2806059451468647,11.488735,174.1813,4097.8187,0.960197,2.47018,10.1158,D
2,4272,0.2806059451468647,13.775251,90.6402,4181.3598,0.979046,2.47018,6.6631,D
2,4272,0.2806059451468647,14.90359,64.7368,4207.2632,0.984733,2.47018,4.1733,D
2,4272,0.2806059451468647,15.641015,50.5207,4221.4793,0.987586,2.47018,8.5872,D
2,4272,0.2806059451468647,15.871413,53.4203,4218.5797,0.988364,2.47018,4.0652,D
2,4272,0.2806059451468647,15.878588,48.6946,4223.3054,0.988387,2.47018,6.4854,D
2,4272,0.2806059451468647,17.917684,27.6217,4244.3783,0.993447,2.47018,5.829,D
2,4272,0.2806059451468647,17.954871,31.7127,4240.2873,0.993515,2.47018,7.5642,D
2,4272,0.2806059451468647,19.788635,17.2477,4254.7523,0.996123,2.47018,3.3036,D
3,3592,0.3837591249028995,0.583104,2954.8677,637.1323,0.200502,1.806204,50.583,A
3,3592,0.3837591249028995,0.861048,2686.6223,905.3777,0.281389,1.806204,70.803,A
3,3592,0.3837591249028995,1.004289,2359.14,1232.86,0.319825,1.806204,57.2411,A
3,3592,0.3837591249028995,,1813.2422,1778.7578,0.504066,1.806204,21.4434,A
3,3592,0.3837591249028995,1.914581,1708.3568,1883.6432,0.520369,1.806204,59.9019,A
3,3592,0.3837591249028995,3.125674,1025.7285,2566.2715,0.698657,1.806204,24.2522,A
3,3592,0.3837591249028995,4.339125,657.8047,2934.1953,0.810843,1.806204,15.8382,A
3,3592,,4.401774,631.8432,2960.1568,0.815337,1.806204,32.6604,A
3,3592,0.3837591249028995,5.246859,465.921,3126.079,0.866483,1.806204,21.91,A
3,3592,0.3837591249028995,5.56199,422.9464,3169.0536,0.881692,1.806204,19.2493,A
3,3592,0.3837591249028995,5.713992,360.3123,3231.6877,0.888396,1.806204,15.0066,A
3,3592,0.3837591249028995,5.760107,397.7335,3194.2665,0.890353,1.806204,20.7878,A
3,3592,0.3837591249028995,6.261003,310.2458,3281.7542,0.909528,1.806204,13.9599,A
3,3592,0.3837591249028995,6.296517,355.4707,3236.5293,0.910753,1.806204,25.0948,A
3,3592,0.3837591249028995,6.331735,312.8358,3279.1642,0.911951,1.806204,12.7192,A
3,3592,0.3837591249028995,6.353894,336.708,3255.292,0.912697,1.806204,24.515,A
3,3592,0.3837591249028995,7.592335,211.3931,3380.6069,0.945722,1.806204,14.7926,A
3,3592,0.3837591249028995,7.964556,187.7254,3404.2746,0.952947,1.806204,17.2712,A
3,3592,0.3837591249028995,9.292263,94.6197,3497.3803,0.971731,1.806204,12.2216,A
3,3592,0.3837591249028995,10.365524,61.5777,3530.4223,0.981274,1.806204,9.8145,A
3,3592,0.3837591249028995,10.755659,56.4983,3535.5017,0.983878,1.806204,6.2731,A
3,3592,0.3837591249028995,11.12656,53.5358,3538.4642,0.986017,1.806204,5.2012,A
3,3592,0.3837591249028995,14.202295,14.0023,3577.9977,0.995705,1.806204,2.7923,A
3,3592,0.3837591249028995,15.619277,8.4725,3583.5275,0.997506,1.806204,4.0618,A
3,3592,0.3837591249028995,16.72997,6.7222,3585.2778,0.998372,1.806204,3.1933,A
3,3592,0.3837591249028995,18.144979,1.829,3590.171,0.999054,1.806204,1.7338,A
3,3592,0.3837591249028995,,1.2291,3590.7709,0.99941,1.806204,0.9209,A
4,966,0.364480633922407,,921.2106,44.7894,0.04459,1.901739,21.9275,D
4,966,0.364480633922407,0.193738,897.9539,68.0461,0.068178,1.901739,24.5285,D
4,966,0.364480633922407,0.718604,749.9058,216.0942,0.230425,1.901739,20.7051,D
4,966,0.364480633922407,1.237714,632.9032,333.0968,0.363087,1.901739,14.5748,D
4,966,0.364480633922407,1.863922,503.7907,462.2093,0.493061,1.901739,13.0544,D
4,966,0.364480633922407,,361.4337,604.5663,0.617863,1.901739,13.3195,D
4,966,0.364480633922407,3.266733,281.4763,684.5237,0.69598,1.901739,9.435,D
4,966,0.364480633922407,3.888953,212.8224,753.1776,0.757668,1.901739,17.2349,D
4,966,0.364480633922407,4.273963,,,0.789396,1.901739,11.2299,D
4,966,0.364480633922407,4.957467,154.9796,811.0204,0.835838,1.901739,9.8192,D
4,966,0.364480633922407,5.554382,130.4411,835.5589,0.867935,1.901739,9.3973,D
4,966,0.364480633922407,6.27413,88.9106,877.0894,0.898409,1.901739,11.5191,D
4,966,0.364480633922407,7.282256,71.1284,894.8716,0.929648,1.901739,11.2992,D
4,966,0.364480633922407,8.209916,51.6367,914.3633,0.949831,1.901739,8.7652,D
4,966,0.364480633922407,8.400081,46.4013,919.5987,0.95319,1.901739,8.2544,D
4,966,0.364480633922407,10.263662,17.6061,948.3939,0.976267,1.901739,4.7133,D
4,966,0.364480633922407,10.707359,,,0.979811,1.901739,5.272,D
4,966,0.364480633922407,11.321433,24.2431,941.7569,0.98386,1.901739,4.1569,D
4,966,0.364480633922407,11.3243,16.2702,949.7298,0.983877,1.901739,2.8267,D
4,966,0.364480633922407,13.954326,0.8584,965.1416,0.993818,1.901739,1.7316,D
4,966,0.364480633922407,14.623147,6.8179,959.1821,0.995155,1.901739,1.7229,D
4,966,0.364480633922407,15.029059,2.0446,963.9554,0.995821,1.901739,2.8344,D
4,966,0.364480633922407,15.63231,7.5112,958.4888,0.996646,1.901739,1.8853,D
4,966,0.364480633922407,17.159102,2.0527,963.9473,0.998078,1.901739,1.6815,D
4,966,0.364480633922407,18.538327,0.0,966.0,0.998837,1.901739,0.8972,D
4,966,0.364480633922407,18.935121,0.0,966.0,0.998994,1.901739,0.895,D
5,4926,0.23114751961864127,0.47065,4458.2284,467.7716,0.103081,2.998722,92.3648,E
5,4926,0.23114751961864127,1.220143,3749.6199,1176.3801,0.245751,2.998722,88.0137,E
5,4926,0.23114751961864127,1.865429,3310.1214,1615.8786,0.350264,2.998722,71.6128,E
5,4926,0.23114751961864127,1.99093,3106.4005,1819.5995,0.368842,2.998722,28.181,E
5,4926,0.23114751961864127,2.583489,2742.2989,2183.7011,0.449631,2.998722,26.1043,E
5,4926,0.23114751961864127,2.701603,2679.6247,2246.3753,0.464454,2.998722,45.1014,E
5,4926,0.23114751961864127,3.035508,2515.0837,2410.9163,0.504233,2.998722,31.7954,E
5,4926,0.23114751961864127,3.90018,1996.7766,2929.2234,0.594047,2.998722,23.1813,E
5,4926,0.23114751961864127,5.071682,1509.5174,3416.4826,0.690348,2.998722,37.6523,E
5,4926,0.23114751961864127,5.578762,1423.4877,3502.5123,0.724596,2.998722,53.1517,E
5,4926,0.23114751961864127,5.756626,1313.4521,3612.5479,0.735689,2.998722,29.726,E
5,4926,0.23114751961864127,8.592457,714.668,4211.332,0.862774,2.998722,30.1891,E
5,4926,0.23114751961864127,9.419001,577.933,4348.067,0.886639,2.998722,27.2283,E
5,4926,0.23114751961864127,9.844646,470.494,4455.506,0.897261,2.998722,16.8967,E
5,4926,0.23114751961864127,10.014219,496.1885,4429.8115,0.90121,2.998722,25.3782,E
5,4926,0.23114751961864127,10.232772,467.4333,4458.5667,0.906077,2.998722,15.3221,E
5,4926,0.23114751961864127,10.472011,439.5065,4486.4935,0.91113,2.998722,13.0143,E
5,4926,0.23114751961864127,12.049397,301.2501,4624.7499,0.938283,2.998722,20.9475,E
5,4926,0.23114751961864127,12.063843,286.0055,4639.9945,0.938488,2.998722,10.6782,E
5,4926,0.23114751961864127,12.375442,303.9226,4622.0774,0.942763,2.998722,25.1352,E
5,4926,0.23114751961864127,12.897224,253.9534,4672.0466,0.949266,2.998722,10.8045,E
5,4926,0.23114751961864127,13.041861,260.4425,4665.5575,0.950934,2.998722,17.0102,E
5,4926,0.23114751961864127,13.307304,,,0.953854,2.998722,13.7407,E
5,4926,0.23114751961864127,15.618387,136.9039,4789.0961,0.972952,2.998722,7.2303,E
5,4926,0.23114751961864127,15.829271,125.503,4800.497,0.974239,2.998722,5.9461,E
5,4926,0.23114751961864127,19.276463,58.4222,4867.5778,0.988388,2.998722,8.4914,E
6,3944,0.14811039837233891,0.27268,3856.5471,87.4529,0.039582,4.679936,81.4624,C
6,3944,0.14811039837233891,0.849398,3577.2908,366.7092,0.118213,4.679936,82.4902,C
6,3944,0.14811039837233891,1.841975,3013.2418,930.7582,0.238767,4.679936,57.7035,C
6,3944,0.14811039837233891,2.525423,2645.409,1298.591,0.312052,4.679936,68.3543,C
6,3944,0.14811039837233891,2.547389,2740.3527,1203.6473,0.314286,4.679936,45.9741,C
6,3944,0.14811039837233891,2.555493,2663.3514,1280.6486,0.315109,4.679936,60.6146,C
6,3944,0.14811039837233891,2.964349,2551.3413,1392.6587,0.355352,4.679936,75.0717,C
6,3944,0.14811039837233891,5.765032,1674.1324,2269.8676,0.574232,4.679936,29.7392,C
6,3944,0.14811039837233891,5.975657,1668.031,2275.969,0.587309,4.679936,35.9023,C
6,3944,0.14811039837233891,6.365241,1564.4478,2379.5522,0.610448,4.679936,38.4148,C
6,3944,0.14811039837233891,6.454531,1514.2061,2429.7939,0.615566,4.679936,24.8434,C
6,3944,0.14811039837233891,6.516469,1458.4095,2485.5905,0.619077,4.679936,22.5212,C
6,3944,0.14811039837233891,8.847331,1036.2148,2907.7852,0.730283,4.679936,43.3694,C
6,3944,0.14811039837233891,9.213397,1040.6371,2903.3629,0.744517,4.679936,46.878,C
6,3944,0.14811039837233891,9.979422,907.1507,3036.8493,0.771919,4.679936,27.135,C
6,3944,0.14811039837233891,11.087134,739.0295,3204.9705,0.806431,4.679936,16.237,C
6,3944,0.14811039837233891,12.898058,559.1338,3384.8662,0.851969,4.679936,13.6715,C
6,3944,,13.692524,525.2187,3418.7813,0.868402,4.679936,31.6971,C
6,3944,0.14811039837233891,16.26869,335.2075,3608.7925,0.910145,4.679936,18.144,C
6,3944,,16.305527,337.6669,3606.3331,0.910634,4.679936,15.3951,C
6,3944,0.14811039837233891,16.74526,342.1698,3601.8302,0.916269,4.679936,17.7446,C
6,3944,0.14811039837233891,17.824001,297.9766,3646.0234,0.928633,4.679936,13.7288,C
6,3944,0.14811039837233891,17.885302,266.5273,3677.4727,0.929278,4.679936,16.518,C
6,3944,0.14811039837233891,17.888088,277.7962,3666.2038,0.929307,4.679936,22.7014,C
6,3944,0.14811039837233891,18.05411,270.7024,3673.2976,0.931024,4.679936,18.016,C
6,3944,0.14811039837233891,18.485085,252.0839,3691.9161,0.93529,4.679936,19.0852,C
6,3944,0.14811039837233891,18.485741,255.7538,3688.2462,0.935296,4.679936,13.8129,C
7,3671,0.34027437549619827,1.492769,2250.7573,1420.2427,0.398273,2.037024,55.2762,E
7,3671,0.34027437549619827,2.713766,1387.8422,2283.1578,0.602844,2.037024,30.823,E
7,3671,0.34027437549619827,3.07839,1250.5756,2420.4244,0.649185,2.037024,31.2221,E
7,3671,0.34027437549619827,5.43573,561.0302,3109.9698,0.842706,2.037024,25.2425,E
7,3671,0.34027437549619827,6.06035,478.3075,3192.6925,0.872824,2.037024,27.8734,E
7,3671,0.34027437549619827,6.746057,361.5289,3309.4711,0.89929,2.037024,15.728,E
7,3671,0.34027437549619827,7.983336,234.3916,3436.6084,0.933896,2.037024,16.8198,E
7,3671,0.34027437549619827,10.594279,101.3445,3569.6555,0.972812,2.037024,8.4482,E
7,3671,0.34027437549619827,10.895445,68.7405,3602.2595,0.97546,2.037024,12.4885,E
7,3671,0.34027437549619827,11.971902,56.0507,3614.9493,0.982986,2.037024,7.6401,E
7,3671,0.34027437549619827,12.562391,49.0128,3621.9872,0.986083,2.037024,4.1222,E
7,3671,0.34027437549619827,13.058993,42.26,3628.74,0.988247,2.037024,4.375,E
7,3671,0.34027437549619827,14.008636,,,0.991492,2.037024,3.1358,E
7,3671,0.34027437549619827,14.647769,32.6445,3638.3555,0.993155,2.037024,5.0092,E
7,3671,0.34027437549619827,15.408944,21.8192,3649.1808,0.994717,2.037024,2.6702,E
7,3671,0.34027437549619827,16.664087,10.972,3660.028,0.996553,2.037024,2.1845,E
7,3671,0.34027437549619827,17.872705,7.2957,3663.7043,0.997716,2.037024,4.1731,E
7,3671,0.34027437549619827,18.154709,6.3707,3664.6293,0.997925,2.037024,3.7889,E
7,3671,0.34027437549619827,18.482154,5.5376,3665.4624,0.998143,2.037024,2.4856,E
7,3671,0.34027437549619827,18.61285,7.553,3663.447,0.998224,2.037024,3.7937,E
7,3671,0.34027437549619827,18.831537,3.7633,3667.2367,0.998352,2.037024,1.2305,E
7,3671,0.34027437549619827,19.33095,7.3228,3663.6772,0.998609,2.037024,2.5172,E
7,3671,0.34027437549619827,19.5036,8.9632,3662.0368,0.998688,2.037024,2.4497,E
7,3671,0.34027437549619827,19.540634,4.1909,3666.8091,0.998705,2.037024,2.0876,E
7,3671,0.34027437549619827,19.931313,3.6329,3667.3671,0.998866,2.037024,1.83,E
8,3419,0.23976677054897683,0.209873,,,0.049075,2.890923,48.0016,B
8,3419,0.23976677054897683,2.982817,1671.2067,1747.7933,0.510896,2.890923,56.182,B
8,3419,0.23976677054897683,3.903943,1349.0152,2069.9848,0.607821,2.890923,18.7815,B
8,3419,0.23976677054897683,4.015419,1316.7122,2102.2878,0.618164,2.890923,26.2565,B
8,3419,0.23976677054897683,6.139446,763.929,2655.071,0.770542,2.890923,29.8828,B
8,3419,0.23976677054897683,6.300207,776.2623,2642.7377,0.779218,2.890923,23.3958,B
8,3419,0.23976677054897683,6.38247,744.8562,2674.1438,0.78353,2.890923,30.2078,B
8,3419,0.23976677054897683,,743.5348,2675.4652,0.787619,2.890923,14.1231,B
8,3419,0.23976677054897683,6.513696,740.8415,2678.1585,0.790235,2.890923,16.509,B
8,3419,0.23976677054897683,7.195882,586.6443,2832.3557,0.821886,2.890923,15.4751,B
8,3419,0.23976677054897683,7.43093,561.3944,2857.6056,0.831647,2.890923,16.5371,B
8,3419,0.23976677054897683,7.882721,534.2444,2884.7556,0.84893,2.890923,21.8025,B
8,3419,0.23976677054897683,8.453121,406.2394,3012.7606,0.868241,2.890923,26.576,B
8,3419,0.23976677054897683,9.390373,397.6841,3021.3159,0.894759,2.890923,26.6616,B
8,3419,0.23976677054897683,9.398307,350.4337,3068.5663,0.894959,2.890923,25.3065,B
8,3419,0.23976677054897683,10.049818,314.2212,3104.7788,0.91015,2.890923,12.2144,B
8,3419,0.23976677054897683,10.473268,275.7142,3143.2858,0.918824,2.890923,15.6791,B
8,3419,0.23976677054897683,11.167046,220.0782,3198.9218,0.931264,2.890923,10.7219,B
8,3419,0.23976677054897683,12.066684,200.5155,3218.4845,0.944601,2.890923,10.5211,B
8,3419,0.23976677054897683,12.288,216.6178,3202.3822,0.947464,2.890923,13.4498,B
8,3419,0.23976677054897683,12.358631,172.7166,3246.2834,0.948346,2.890923,7.5498,B
8,3419,0.23976677054897683,13.569823,129.4328,3289.5672,0.961365,2.890923,8.2541,B
